method;year;month;day;block;site;event;order;mass;family_count;family_list
malaise;2015;vi;24;1;A;1;Coleoptera;0.0062;1;Coccinellidae
malaise;2015;vi;24;1;A;1;Collembola;0.0;0;NA
malaise;2015;vi;24;1;A;1;Diptera;1.6655;22;Anthomyiidae,Asilidae,Bombyliidae,Calliphoridae,Ceratopogonidae,Chironomidae,Chloropidae,Heleomyzidae,Lauxaniidae,Lonchaetidae,Milichiidae,Muscidae,Periscelididae,Phoridae,Pipunculidae,Sarcophagidae,Sciaridae,Syrphidae,Tachinidae,Tephritidae,Therevidae,Ulidiidae
malaise;2015;vi;24;1;A;1;Hemiptera;0.0849;4;Alydidae,Cicadellidae,Lygaeidae,Miridae
malaise;2015;vi;24;1;A;1;Hymenoptera;0.3817;6;Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Vespidae
malaise;2015;vi;24;1;A;1;Lepidoptera;0.4229;5;Gelechiidae,Hepialidae,Noctuidae,Pieridae,Pyralidae
malaise;2015;vi;24;1;A;1;Mantodea;0;0;NA
malaise;2015;vi;24;1;A;1;Neuroptera;0.0037;1;Chrysopidae
malaise;2015;vi;24;1;A;1;Orthoptera;0.0;0;NA
malaise;2015;vi;24;1;A;1;Thysanoptera;0.0;0;NA
malaise;2015;vi;24;1;A;1;Trichoptera;0;0;NA
malaise;2015;vi;24;1;B;1;Coleoptera;0.0243;1;Coccinellidae
malaise;2015;vi;24;1;B;1;Collembola;0.0;0;NA
malaise;2015;vi;24;1;B;1;Diptera;0.963;19;Anthomyiidae,Asilidae,Bombyliidae,Calliphoridae,Chironomidae,Chloropidae,Conopidae,Culicidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Muscidae,Pipunculidae,Sarcophagidae,Sciaridae,Syrphidae,Tachinidae,Tipulidae,Ulidiidae
malaise;2015;vi;24;1;B;1;Hemiptera;0.0687;5;Cicadellidae,Coreidae,Lygaeidae,Miridae,Pentatomidae
malaise;2015;vi;24;1;B;1;Hymenoptera;0.6073;7;Braconidae,Chrysididae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae
malaise;2015;vi;24;1;B;1;Lepidoptera;0.2711;4;Crambidae,Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;24;1;B;1;Mantodea;0;0;NA
malaise;2015;vi;24;1;B;1;Neuroptera;0.0059;1;Chrysopidae
malaise;2015;vi;24;1;B;1;Orthoptera;0.0;0;NA
malaise;2015;vi;24;1;B;1;Thysanoptera;0.0;0;NA
malaise;2015;vi;24;1;B;1;Trichoptera;0;0;NA
malaise;2015;vi;24;1;C;1;Coleoptera;0.194;1;Cleridae
malaise;2015;vi;24;1;C;1;Collembola;0.0;0;NA
malaise;2015;vi;24;1;C;1;Diptera;0.5989;11;Anthomyiidae,Chironomidae,Chloropidae,Culicidae,Heleomyzidae,Lauxaniidae,Muscidae,Phoridae,Sarcophagidae,Syrphidae,Tachinidae
malaise;2015;vi;24;1;C;1;Hemiptera;0.0156;0;NA
malaise;2015;vi;24;1;C;1;Hymenoptera;0.391;7;Formicidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
