Taxon,,Date,Malaise,,,,,,,,,,,
,Order,,1A,1B,1C,2A,2B,2C,3A,3B,3C,UTC1,UTC2,UTC3
Chilopoda,,24-Jun-15,,,,,,,,,,,,
,,25-Jun-15,,,,,,,,,,,,
,,26-Jun-15,,,,,,,,,,,,
,,27-Jun-15,,,,,,,,,,,,
,,1-Jul-15,,,,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,,,
,,6-Jul-15,,,,,,,,,,,,
,,8-Jul-15,,,,,,,,,,,,
,,10-Jul-15,,,,,,,,,,,,
,,11-Jul-15,,,,,,,,,,,,
,,13-Jul-15,,,,,,,,,,,,
,,15-Jul-15,,,,,,,,,,,,
,,17-Jul-15,,,,,,,,,,,,
,,18-Jul-15,,,,,,,,,,,,
,,20-Jul-15,,,,,,,,,,,,
,,22-Jul-15,,,,,,,,,,,,
,,24-Jul-15,,,,,,,,,,,,
,,25-Jul-15,,,,,,,,,,,,
,,27-Jul-15,,,,,,,,,,,,
Arachnida,Araneae,24-Jun-15,0,0.0005,0.0022,,,,,,,,,
,,25-Jun-15,,,,0.0029,0,0.0152,,,,,,
,,26-Jun-15,,,,,,,0.018,0,0.0303,,,
,,27-Jun-15,,,,,,,,,,0.4285,0,0.0087
,,1-Jul-15,0.0178,0,0.0326,,,,,,,,,
,,3-Jul-15,,,,0.0085,0.0409,0.0409,,,,,,
,,4-Jul-15,,,,,,,,,,0.0445,0.019,0.0041
,,6-Jul-15,,,,,,,0.0017,0,0.0415,,,
,,8-Jul-15,0,0.0217,0.0255,,,,,,,,,
,,10-Jul-15,,,,0,0.004,0,,,,,,
,,11-Jul-15,,,,,,,,,,0.0312,0.0019,0.0062
,,13-Jul-15,,,,,,,0.0161,0.024,0,,,
,,15-Jul-15,0,0.0056,0.0017,,,,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0.0258,0.006,0.0042
,,20-Jul-15,,,,,,,0.0246,0.0386,0.0034,,,
,,22-Jul-15,0,0.0053,0.0065,,,,,,,,,
,,24-Jul-15,,,,0,0.0007,0.0029,,,,,,
,,25-Jul-15,,,,,,,,,,0.0097,0.0319,0.0135
,,27-Jul-15,,,,,,,0,0.0022,0.0365,,,
,Scorpiones,24-Jun-15,,,,,,,,,,,,
,,25-Jun-15,,,,,,,,,,,,
,,26-Jun-15,,,,,,,,,,,,
,,27-Jun-15,,,,,,,,,,,,
,,1-Jul-15,,,,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,,,
