Taxon,,Date,Pitfall,,,,,,,,,,,
,Order,,1A,1B,1C,2A,2B,2C,3A,3B,3C,UTC1,UTC2,UTC3
Diplopoda,,24-Jun-15,,,,,,,,,,,,
,,25-Jun-15,,,,,,,,,,,,
,,26-Jun-15,,,,,,,,,,,,
,,27-Jun-15,,,,,,,,,,,,
,,1-Jul-15,,,,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,,,
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,,,,,,,,,,,,
,,10-Jul-15,,,,,,,,,,,,
,,11-Jul-15,,,,,,,,,,,,
,,13-Jul-15,,,,,,,,,,,,
,,15-Jul-15,,,,,,,,,,,,
,,17-Jul-15,,,,,,,,,,,,
,,18-Jul-15,,,,,,,,,,,,
,,20-Jul-15,,,,,,,0.4594,0,0,,,
,,22-Jul-15,,,,,,,,,,,,
,,24-Jul-15,,,,0,0,0.1279,,,,,,
,,25-Jul-15,,,,,,,,,,,,
,,27-Jul-15,,,,,,,0,0,0,,,
Chilopoda,,24-Jun-15,0,0.2863,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0.4147,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0.4564,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0.1551,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0.0466,0,,,
Arachnida,Araneae,24-Jun-15,0.0716,0.0791,0.1053,,,,,,,,,
,,25-Jun-15,,,,0.0056,0.051,0.0211,,,,,,
,,26-Jun-15,,,,,,,0.0486,0.0289,0.1912,,,
,,27-Jun-15,,,,,,,,,,0.062,0.0416,0.0356
,,1-Jul-15,0.017,0.018,0.029,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0.0175,0.0088,0.0196
,,6-Jul-15,,,,,,,0.069,0.0004,,,,
,,8-Jul-15,0,0,0.0563,,,,,,,,,
,,10-Jul-15,,,,0.0232,0.0023,0,,,,,,
,,11-Jul-15,,,,,,,,,,0.0033,0.0024,0.0027
,,13-Jul-15,,,,,,,0.0027,0.0018,0.0173,,,
,,15-Jul-15,0.0026,0.0193,0.0772,0.0013,0.0794,0.1722,,,,,,
,,17-Jul-15,,,,0.004,0.002,0.0035,,,,,,
,,18-Jul-15,,,,,,,,,,0.0917,0.0069,0.0165
,,20-Jul-15,,,,,,,0.0114,0.0337,0.0658,,,
,,22-Jul-15,0.0012,0.0528,0.0233,,,,,,,,,
,,24-Jul-15,,,,0.0011,0.0305,0.0137,,,,,,
,,25-Jul-15,,,,,,,,,,0.0271,0,0.0079
,,27-Jul-15,,,,,,,0.0314,0.027,0.0228,,,
,Scorpiones,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0,0,,,
,Solifugae,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0.0001,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0.0788,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0.0421,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0.0799,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0.023,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0.0538,0.0007,0,,,
,Acari,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0.0032,0,,,,,,,,,
,,10-Jul-15,,,,0.031,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0.051,0.0001,0,,,,,,
,,17-Jul-15,,,,0.0042,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0.0036,0.0004,0.0008,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0.0036,0.0041,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0,0,,,
,Pseudoscorpiones,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0.0012,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0,0,,,
Insecta,Collembola,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0,0.0001,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0.0007,0,0,0.0016,0,,,,,,
,,17-Jul-15,,,,0.0003,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
