Taxon,,Date,Sweep,,,,,,,,,,,
,Order,,1A,1B,1C,2A,2B,2C,3A,3B,3C,UTC1,UTC2,UTC3
Chilopoda,,24-Jun-15,,,,,,,,,,,,
,,25-Jun-15,,,,,,,,,,,,
,,26-Jun-15,,,,,,,,,,,,
,,27-Jun-15,,,,,,,,,,,,
,,1-Jul-15,,,,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,,,
,,6-Jul-15,,,,,,,,,,,,
,,8-Jul-15,,,,,,,,,,,,
,,10-Jul-15,,,,,,,,,,,,
,,11-Jul-15,,,,,,,,,,,,
,,13-Jul-15,,,,,,,,,,,,
,,15-Jul-15,,,,,,,,,,,,
,,17-Jul-15,,,,,,,,,,,,
,,18-Jul-15,,,,,,,,,,,,
,,20-Jul-15,,,,,,,,,,,,
,,22-Jul-15,,,,,,,,,,,,
,,24-Jul-15,,,,,,,,,,,,
,,25-Jul-15,,,,,,,,,,,,
,,27-Jul-15,,,,,,,,,,,,
Arachnida,Araneae,24-Jun-15,0.0024,0.0175,0.0039,,,,,,,,,
,,25-Jun-15,,,,0.0254,0.0054,0.0328,,,,,,
,,26-Jun-15,,,,,,,0.0274,0.0051,0.0194,,,
,,27-Jun-15,,,,,,,,,,0.0006,0.0038,0.0254
,,1-Jul-15,0.0094,0.0357,0.0078,,,,,,,,,
,,3-Jul-15,,,,0.0116,0.0033,0.0322,,,,,,
,,4-Jul-15,,,,,,,,,,0,0.0201,0.0129
,,6-Jul-15,,,,,,,0.0128,0.0026,0,,,
,,8-Jul-15,0.0006,0.0366,0.0211,,,,,,,,,
,,10-Jul-15,,,,0.0038,0.0047,0.0023,,,,,,
,,11-Jul-15,,,,,,,,,,0.0001,0.0048,0.0162
,,13-Jul-15,,,,,,,0.0035,0.0015,0.0086,,,
,,15-Jul-15,0.0086,0.0252,0.0225,,,,,,,,,
,,17-Jul-15,,,,0.0016,0.0062,0.0211,,,,,,
,,18-Jul-15,,,,,,,,,,0.0013,0.0031,0.0131
,,20-Jul-15,,,,,,,0.0104,0.0195,0.0151,,,
,,22-Jul-15,0.0364,0.0255,0.0524,,,,,,,,,
,,24-Jul-15,,,,0.0462,0.007,0.005,,,,,,
,,25-Jul-15,,,,,,,,,,0.0512,0.0042,0.0086
,,27-Jul-15,,,,,,,0.0202,0.0158,0.0498,,,
,Scorpiones,24-Jun-15,,,,,,,,,,,,
,,25-Jun-15,,,,,,,,,,,,
,,26-Jun-15,,,,,,,,,,,,
,,27-Jun-15,,,,,,,,,,,,
,,1-Jul-15,,,,,,,,,,,,
