Taxon,,Date,Malaise,,,,,,,,,,,
,Order,,1A,1B,1C,2A,2B,2C,3A,3B,3C,UTC1,UTC2,UTC3
Diplopoda,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
Chilopoda,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
Araneae,,22-Jun-16,0.0004,0.0307,0.0185,,,,,,,,,
,,23-Jun-16,,,,0.0149,0.0056,0.0002,,,,,,
,,24-Jun-16,,,,,,,0.032,0.0007,0.0483,,,
,,25-Jun-16,,,,,,,,,,0.1146,0.0068,0.0085
,,29-Jun-16,0.0265,0.0312,0.0155,,,,,,,,,
,,30-Jun-16,,,,0.001,0.0009,0.0117,,,,,,
,,1-Jul-16,,,,,,,0.0016,0.0034,0,,,
,,2-Jul-16,,,,,,,,,,0.0149,0.0049,0.1819
,,6-Jul-16,0.0115,0,0.0553,,,,,,,,,
,,7-Jul-16,,,,0.0004,0.002,0.0018,,,,,,
,,8-Jul-16,,,,,,,0.0073,0.0377,0.0117,,,
,,9-Jul-16,,,,,,,,,,0,0.0005,0.0062
,,13-Jul-16,0.0018,0.0064,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0.0036,0.0015,0.0359,,,
,,16-Jul-16,,,,,,,,,,0.0012,0.0014,0.0068
,,20-Jul-16,0.0043,0.0083,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0.0064,0.008,0.0214,,,
,,23-Jul-16,,,,0,0.0208,0.001,,,,0.0017,0.0013,0.0282
Acari,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
Solifugae,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0.0418,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0.0276,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0.0205,,,,,,
,,1-Jul-16,,,,,,,0,0.0582,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0.0207,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0.0364
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0.0187,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
Scorpiones,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
Pseudoscorpiones,,22-Jun-16,0,0.0005,0.0005,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0.0005,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
Insecta,Thysanoptera,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
,Collembola,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,0,0,0,,,,0,0,0
,Orthoptera,22-Jun-16,0.0003,0.0164,0.059,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0.0096,0.0011,0.042,,,
,,25-Jun-16,,,,,,,,,,0.0549,0,0.0091
,,29-Jun-16,0.05,0.0453,0,,,,,,,,,
,,30-Jun-16,,,,0.0545,0.028,0,,,,,,
,,1-Jul-16,,,,,,,0.1444,0.0438,0.1174,,,
,,2-Jul-16,,,,,,,,,,0.1498,0,0.0288
,,6-Jul-16,0,0.0109,0.144,,,,,,,,,
,,7-Jul-16,,,,0,0.0172,0,,,,,,
,,8-Jul-16,,,,,,,0.1203,0,0.0662,,,
,,9-Jul-16,,,,,,,,,,0.1936,0.0164,0.0314
,,13-Jul-16,0.147,0.0579,0.151,,,,,,,,,
,,14-Jul-16,,,,0.0481,0,0.1776,,,,,,
,,15-Jul-16,,,,,,,0,0,0.0747,,,
,,16-Jul-16,,,,,,,,,,0.1889,0.1236,0.127
,,20-Jul-16,0,0.0304,0.1279,,,,,,,,,
,,21-Jul-16,,,,,,,,,,,,
,,22-Jul-16,,,,,,,0.0898,0.0482,0,,,
,,23-Jul-16,,,,0.1192,0.0295,0,,,,0.3316,0,0.0869
,Hemiptera,22-Jun-16,0.0037,0.0197,0.0025,,,,,,,,,
,,23-Jun-16,,,,0.0183,0.0047,0.0381,,,,,,
,,24-Jun-16,,,,,,,0.0049,0.0118,0.0137,,,
