Taxon,,Date,Sweeping,,,,,,,,,,,
,Order,,1A,1B,1C,2A,2B,2C,3A,3B,3C,UTC1,UTC2,UTC3
Diplopoda,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
Chilopoda,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,0,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
Araneae,,22-Jun-16,0.0013,0.013,0.0094,,,,,,,,,
,,23-Jun-16,,,,0.0042,0.0032,0.0038,,,,,,
,,24-Jun-16,,,,,,,0,0.0009,0.0109,,,
,,25-Jun-16,,,,,,,,,,0.0112,0.0008,0.0124
,,29-Jun-16,0.0057,0.0292,0.0192,,,,,,,,,
,,30-Jun-16,,,,0.0008,0.0172,0.0078,,,,,,
,,1-Jul-16,,,,,,,0.0141,0,0.003,,,
,,2-Jul-16,,,,,,,,,,0.0103,0,0.0021
,,6-Jul-16,0,0.0097,0.0089,,,,,,,,,
,,7-Jul-16,,,,0.0013,0.0016,0.0025,,,,,,
,,8-Jul-16,,,,,,,0,0.0008,0.0008,,,
,,9-Jul-16,,,,,,,,,,0.0033,0.0063,0.0014
,,13-Jul-16,0.0022,0.0058,0.0073,,,,,,,,,
,,14-Jul-16,,,,0.044,0.0026,0.0096,,,,,,
,,15-Jul-16,,,,,,,0.0076,0.0005,0.0041,,,
,,16-Jul-16,,,,,,,,,,0.0024,0.0028,0.0001
,,20-Jul-16,0.0014,0.0075,0.019,,,,,,,,,
,,21-Jul-16,,,,0,0.0062,0.0021,,,,,,
,,22-Jul-16,,,,,,,0.00025,0.0005,0.0017,,,
,,23-Jul-16,,,,,,,,,,0.002,0.0013,0.0013
Acari,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
Solifugae,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
Scorpiones,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
Pseudoscorpiones,,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0,0,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0,0,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
Insecta,Thysanoptera,22-Jun-16,0.0001,0.0001,0.0009,,,,,,,,,
,,23-Jun-16,,,,0,0.0004,0,,,,,,
,,24-Jun-16,,,,,,,0.0005,0.0005,0.0007,,,
,,25-Jun-16,,,,,,,,,,0,0.0006,0
,,29-Jun-16,0,0.0001,0.0012,,,,,,,,,
,,30-Jun-16,,,,0,0.0003,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0.0001,,,
,,2-Jul-16,,,,,,,,,,0.0004,0.0004,0.0004
,,6-Jul-16,0.0003,0,0.0006,,,,,,,,,
,,7-Jul-16,,,,0.0001,0.0003,0.0001,,,,,,
,,8-Jul-16,,,,,,,0.0004,0.0009,0.0012,,,
,,9-Jul-16,,,,,,,,,,0.0001,0.0007,0
,,13-Jul-16,0,0.0001,0.0006,,,,,,,,,
,,14-Jul-16,,,,0,0.0001,0.0001,,,,,,
,,15-Jul-16,,,,,,,0.0001,0.0006,0.0005,,,
,,16-Jul-16,,,,,,,,,,0.0001,0.0001,0.0001
,,20-Jul-16,0,0,0.0006,,,,,,,,,
,,21-Jul-16,,,,0,0.0006,0,,,,,,
,,22-Jul-16,,,,,,,0.0008,0.0007,0,,,
,,23-Jul-16,,,,,,,,,,0.0005,0,0.0001
,Collembola,22-Jun-16,0,0,0,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0.0001,0.0001,0,,,
,,25-Jun-16,,,,,,,,,,0,0,0
,,29-Jun-16,0,0,0,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0,0,0.0005,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0,0,0,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0.0001,0.0008,0,,,
,,9-Jul-16,,,,,,,,,,0,0,0
,,13-Jul-16,0,0,0,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0.0001,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0,0,0,,,
,,23-Jul-16,,,,,,,,,,0,0,0
,Orthoptera,22-Jun-16,0.2391,0.2819,0.5359,,,,,,,,,
,,23-Jun-16,,,,0,0,0,,,,,,
,,24-Jun-16,,,,,,,0.1589,0.2635,0.1955,,,
,,25-Jun-16,,,,,,,,,,3.4393,1.8712,1.8784
,,29-Jun-16,0.0738,0.4628,0.3892,,,,,,,,,
,,30-Jun-16,,,,0,0,0,,,,,,
,,1-Jul-16,,,,,,,0.2068,0.0865,0.1672,,,
,,2-Jul-16,,,,,,,,,,0,0,0
,,6-Jul-16,0.1183,0.5882,0.2269,,,,,,,,,
,,7-Jul-16,,,,0,0,0,,,,,,
,,8-Jul-16,,,,,,,0.1943,0.3826,0.172,,,
,,9-Jul-16,,,,,,,,,,1.2253,2.6204,0.6218
,,13-Jul-16,0.2685,0.1638,0.196,,,,,,,,,
,,14-Jul-16,,,,0,0,0,,,,,,
,,15-Jul-16,,,,,,,0,0,0,,,
,,16-Jul-16,,,,,,,,,,0,0,0
,,20-Jul-16,0,0,0,,,,,,,,,
,,21-Jul-16,,,,0,0,0,,,,,,
,,22-Jul-16,,,,,,,0.6604,0.3464,0.0888,,,
,,23-Jul-16,,,,,,,,,,0,0,0
